index,detail_url,dress_id,image_url_high_res,item_title,price
576,http://www.modcloth.com/shop/dresses/happy-hosting-dress-in-navy,576,http://productshots2.modcloth.net/productshots/0167/2151/4bc91a7366a447df3173f5b035da212b.jpg?1456932604,Dresses - Happy Hosting Dress in Navy,$59.99
577,http://www.modcloth.com/shop/dresses/sheath-in-love-dress,577,http://productshots2.modcloth.net/productshots/0170/7553/ae10b6628015167e46dfe82f64c77d39.jpg?1465586014,Dresses - Sheath in Love Dress,$89.99
578,http://www.modcloth.com/shop/dresses/here-today-gown-tomorrow-maxi-dress-in-scarlet,578,http://productshots2.modcloth.net/productshots/0170/7545/3ed1b7d8e7f8f615b17ea1ec429836a1.jpg?1465585976,"Dresses - Here Today, Gown Tomorrow Maxi Dress in Scarlet",$99.99
579,http://www.modcloth.com/shop/dresses/rise-from-the-rinks-dress,579,http://productshots2.modcloth.net/productshots/0170/6695/8dd96d751587c9a24ec6b673e2504d0f.jpg?1465423298,Dresses - Rise From the Rinks Dress,$59.99
580,http://www.modcloth.com/shop/dresses/introduction-luncheon-dress-in-berry,580,http://productshots2.modcloth.net/productshots/0170/7633/336cf089e72da27c7e7e5c6033e292e8.jpg?1465835103,Dresses - Introduction Luncheon Dress in Berry,$59.99
581,http://www.modcloth.com/shop/dresses/at-a-rosette-time-wedding-dress-in-ivory,581,http://productshots3.modcloth.net/productshots/0171/9645/a458f83cc00cebb8b20c28fdfd6ab9ea.jpg?1468521486,Dresses - At a Rosette Time Wedding Dress in Ivory,$200.00
582,http://www.modcloth.com/shop/dresses/all-i-ever-flaunted-dress-in-mist,582,http://productshots2.modcloth.net/productshots/0170/8555/928cc09d87eb1407ef46e68e704bd80f.jpg?1466024717,Dresses - All I Ever Flaunted Dress in Mist,$100.00
583,http://www.modcloth.com/shop/dresses/at-a-momentous-notice-dress,583,http://productshots2.modcloth.net/productshots/0170/8563/6d356f707059aa196754ef13d01e1fe9.jpg?1466024727,Dresses - At a Momentous Notice Dress,$79.99
584,http://www.modcloth.com/shop/dresses/gilded-grace-wedding-dress-in-blush,584,http://productshots0.modcloth.net/productshots/0170/8323/350ab0a2250208c89f5eac352839be7c.jpg?1465920275,Dresses - Gilded Grace Wedding Dress in Blush,$175.00
585,http://www.modcloth.com/shop/dresses/dance-floor-date-dress-in-dots,585,http://productshots3.modcloth.net/productshots/0166/4869/bf4c5e947ea77497efaced5111664474.jpg?1455220723,Dresses - Dance Floor Date Dress in Dots,$59.99
586,http://www.modcloth.com/shop/dresses/teaching-classy-dress-in-black-plaid,586,http://productshots3.modcloth.net/productshots/0169/5279/267f5c79cf453f6ea6d50aef13e443e6.jpg?1462384753,Dresses - Teaching Classy Dress in Black Plaid,$64.99
587,http://www.modcloth.com/shop/dresses/sassed-as-you-can-dress-in-stripes,587,http://productshots0.modcloth.net/productshots/0169/7263/c2903a8f76d0393d4f375d2f38a2ebfc.jpg?1463000156,Dresses - Sassed as You Can Dress in Stripes,$69.99
588,http://www.modcloth.com/shop/dresses/from-dusk-til-bonne-maxi-dress,588,http://productshots2.modcloth.net/productshots/0170/9371/29ae6952a7e0bfc03eb8ac189e533121.jpg?1466100917,Dresses - From Dusk 'Til Bonne Maxi Dress,$149.99
589,http://www.modcloth.com/shop/dresses/architect-de-triomphe-dress,589,http://productshots3.modcloth.net/productshots/0170/2421/a9b537ffa70eb9cced558248b9cd32ec.jpg?1464118908,Dresses - Architect de Triomphe Dress,$64.99
590,http://www.modcloth.com/shop/dresses/swift-transition-dress-in-seaweed,590,http://productshots2.modcloth.net/productshots/0170/4847/51e92e723f51747367b85932fa336bfe.jpg?1464896497,Dresses - Swift Transition Dress in Seaweed,$54.99
591,http://www.modcloth.com/shop/dresses/all-i-ever-flaunted-dress-in-dusk,591,http://productshots2.modcloth.net/productshots/0172/6771/3a9378b5859e6bfdf8eadbf1436f6617.jpg?1470168412,Dresses - All I Ever Flaunted Dress in Dusk,$100.00
592,http://www.modcloth.com/shop/dresses/it-was-all-a-dream-job-dress,592,http://productshots3.modcloth.net/productshots/0161/7149/7fe56104102f4274dca6a4de67e106ad.jpg?1439934077,Dresses - It Was All a Dream Job Dress,$59.99
